court,name_last,name_first,sex,term_begin_date,term_end_date,birth_date,death_date,term_begin_year,term_end_year,birth_year,death_year,term_begin_age,term_end_age,death_age,wikidata,gnd,comment,version,doi_concept,doi_version
BVerfG,Höpker-Aschoff,Hermann,M,1951-09-07,1954-01-15,1883-01-31,1954-01-15,NA,NA,NA,NA,NA,NA,NA,Q95370,119208857,NA,NA,NA,NA
BVerfG,VACANCY-1,VACANCY-1,NA,1954-01-16,1954-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BVerfG,Wintrich,Josef,M,1954-03-23,1958-10-19,1891-02-15,1958-10-19,NA,NA,NA,NA,NA,NA,NA,Q1706072,102107297,NA,NA,NA,NA
BVerfG,VACANCY-2,VACANCY-2,NA,1958-10-20,1959-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BVerfG,Müller,Gebhard,M,1959-01-08,1971-12-07,1900-04-17,1990-08-07,NA,NA,NA,NA,NA,NA,NA,Q69051,11858488X,NA,NA,NA,NA
BVerfG,Benda,Ernst,M,1971-12-08,1983-12-19,1925-01-15,2009-03-02,NA,NA,NA,NA,NA,NA,NA,Q494994,119210371,NA,NA,NA,NA
BVerfG,Zeidler,Wolfgang,M,1983-12-20,1987-11-15,1924-09-02,1987-12-31,NA,NA,NA,NA,NA,NA,NA,Q109543,118828290,NA,NA,NA,NA
BVerfG,Herzog,Roman,M,1987-11-16,1994-06-30,1934-04-05,2017-01-10,NA,NA,NA,NA,NA,NA,NA,Q2563,119155087,NA,NA,NA,NA
BVerfG,VACANCY-3,VACANCY-3,NA,1994-07-01,1994-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BVerfG,Limbach,Jutta,F,1994-09-14,2002-04-09,1934-03-27,2016-09-10,NA,NA,NA,NA,NA,NA,NA,Q72551,115501258,NA,NA,NA,NA
BVerfG,Papier,Hans-Jürgen,M,2002-04-10,2010-03-15,1943-07-06,NA,NA,NA,NA,NA,NA,NA,NA,Q103080,120095122,NA,NA,NA,NA
BVerfG,Voßkuhle,Andreas,M,2010-03-16,2020-06-21,1963-12-21,NA,NA,NA,NA,NA,NA,NA,NA,Q65673,121434885,NA,NA,NA,NA
BVerfG,Harbarth,Stephan,M,2020-06-22,NA,1971-12-19,NA,NA,NA,NA,NA,NA,NA,NA,Q2801914,123502985,NA,NA,NA,NA
BVerwG,Frege,Ludwig,M,1953-03-28,1954-12-31,1884-08-28,1964-03-25,NA,NA,NA,NA,NA,NA,NA,Q1874397,1027392172,NA,NA,NA,NA
BVerwG,VACANCY-1,VACANCY-1,NA,1955-01-01,1955-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
